year,holiday_name,actual_date,actual_day_of_week,observed_date,observed_day_of_week,observed_shifted
2015,New Year's Day,2015-01-01,Thursday,2015-01-01,Thursday,False
2015,"Birthday of Martin Luther King, Jr.",2015-01-19,Monday,2015-01-19,Monday,False
2015,Washington’s Birthday,2015-02-16,Monday,2015-02-16,Monday,False
2015,Memorial Day,2015-05-25,Monday,2015-05-25,Monday,False
2015,Independence Day,2015-07-04,Saturday,2015-07-03,Friday,True
2015,Labor Day,2015-09-07,Monday,2015-09-07,Monday,False
2015,Columbus Day,2015-10-12,Monday,2015-10-12,Monday,False
2015,Veterans Day,2015-11-11,Wednesday,2015-11-11,Wednesday,False
2015,Thanksgiving Day,2015-11-26,Thursday,2015-11-26,Thursday,False
2015,Christmas Day,2015-12-25,Friday,2015-12-25,Friday,False
2016,New Year's Day,2016-01-01,Friday,2016-01-01,Friday,False
2016,"Birthday of Martin Luther King, Jr.",2016-01-18,Monday,2016-01-18,Monday,False
2016,Washington’s Birthday,2016-02-15,Monday,2016-02-15,Monday,False
2016,Memorial Day,2016-05-30,Monday,2016-05-30,Monday,False
2016,Independence Day,2016-07-04,Monday,2016-07-04,Monday,False
2016,Labor Day,2016-09-05,Monday,2016-09-05,Monday,False
2016,Columbus Day,2016-10-10,Monday,2016-10-10,Monday,False
2016,Veterans Day,2016-11-11,Friday,2016-11-11,Friday,False
2016,Thanksgiving Day,2016-11-24,Thursday,2016-11-24,Thursday,False
2016,Christmas Day,2016-12-25,Sunday,2016-12-26,Monday,True
2017,New Year's Day,2017-01-01,Sunday,2017-01-02,Monday,True
2017,"Birthday of Martin Luther King, Jr.",2017-01-16,Monday,2017-01-16,Monday,False
2017,Washington’s Birthday,2017-02-20,Monday,2017-02-20,Monday,False
2017,Memorial Day,2017-05-29,Monday,2017-05-29,Monday,False
2017,Independence Day,2017-07-04,Tuesday,2017-07-04,Tuesday,False
2017,Labor Day,2017-09-04,Monday,2017-09-04,Monday,False
2017,Columbus Day,2017-10-09,Monday,2017-10-09,Monday,False
2017,Veterans Day,2017-11-11,Saturday,2017-11-10,Friday,True
2017,Thanksgiving Day,2017-11-23,Thursday,2017-11-23,Thursday,False
2017,Christmas Day,2017-12-25,Monday,2017-12-25,Monday,False
2018,New Year's Day,2018-01-01,Monday,2018-01-01,Monday,False
2018,"Birthday of Martin Luther King, Jr.",2018-01-15,Monday,2018-01-15,Monday,False
2018,Washington’s Birthday,2018-02-19,Monday,2018-02-19,Monday,False
2018,Memorial Day,2018-05-28,Monday,2018-05-28,Monday,False
2018,Independence Day,2018-07-04,Wednesday,2018-07-04,Wednesday,False
2018,Labor Day,2018-09-03,Monday,2018-09-03,Monday,False
2018,Columbus Day,2018-10-08,Monday,2018-10-08,Monday,False
2018,Veterans Day,2018-11-11,Sunday,2018-11-12,Monday,True
